Title,Year,ActNo
Securities Contracts (Regulation) Act[1956],1956,42
National Highways Act[1956],1956,48
River Boards Act[1956],1956,49
Lok Sahayak Sena Act[1956],1956,53
Supreme Court (Number of Judges) Act[1956],1956,55
Khadi and Village Industries Commission Act[1956],1956,61
Jammu and Kashmir (Extension of Laws) Act[1956],1956,62
Central Sales Tax Act[1956],1956,74
Hindu Adoptions and Maintenance Act[1956],1956,78
Manipur (Village Authorities in Hill Areas) Act[1956],1956,80
Faridabad Development Corporation Act[1956],1956,90
Slum Areas (Improvement and Clearance) Act[1956],1956,96
Immoral Traffic (Prevention) Act[1956],1956,104
Womens and Childrens Institutions (Licensing) Act[1956],1956,105
Copyright Act[1957],1957,14
Coal Bearing Areas (Acquisition and Development) Act[1957],1957,20
Railway Protection Force Act[1957],1957,23
Wealth-tax Act[1957],1957,27
Inter-State Corporation Act[1957],1957,38
Naga Hills-Tuensang Area Act[1957],1957,42
Public Employment (Requirement as to Residence) Act[1957],1957,44
Cantonments (Extension of Rent Control Laws) Act[1957],1957,46
Delhi Development Act[1957],1957,61
Navy Act[1957],1957,62
Delhi Municipal Corporation Act[1957],1957,66
Mines and Minerals (Development and Regulation) Act[1957],1957,67
Probation of Offenders Act[1958],1958,20
Ancient Monuments and Archaeological Sites and Remains Act[1958],1958,24
Armed Forces (Special Powers) Act[1958],1958,28
Working Journalists (Fixation of Rates of Wages) Act[1958],1958,29
Sugar Export Promotion Act[1958],1958,30
Supreme Court Judges (Salaries and Conditions of Service) Act[1958],1958,41
International Finance Corporation (Status Immunities and Privileges) Act[1958],1958,42
Merchant Shipping Act[1958],1958,44
Orissa Weights and Measures (Delhi Repeal) Act[1958],1958,57
Delhi Rent Control Act[1958],1958,59
Parliament (Prevention of Disqualification) Act[1959],1959,10
Cost and Works Accountants Act[1959],1959,23
Employment Exchanges (Compulsory Notification of Vacancies) Act[1959],1959,31
Travancore-Cochin Vehicles Taxation (Amendment and Validation) Act[1959],1959,42
Rajasthan and Madhya Pradesh (Transfer of Territories) Act[1959],1959,47
Arms Act[1959],1959,54
Andhra Pradesh and Madras (Alteration of Boundaries) Act[1959],1959,56
